scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-09,1584403276,Pronájem bytu 4+kk 84 m²,"Slavíkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,50500,84,4+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-09,4204737356,Pronájem bytu 2+kk 49 m²,"U nových domů I, Praha - Krč",,,29000,49,2+kk,1. podlaží,Cihlová,Po rekonstrukci,True,,,,,Družstevní,,6,2,,,
2026-02-09,342692684,Pronájem bytu 3+kk 146 m²,"Malešická, Praha",,,46000,146,3+kk,6. podlaží,Skeletová,Velmi dobrý,,,42,,,Osobní,1,6,,,,elektřina se převádí na nájemníka
2026-02-09,2642613068,Pronájem bytu 3+kk 121 m²,"Tibetská, Praha - Vokovice",,,40000,121,3+kk,4. podlaží,Skeletová,Velmi dobrý,False,True,3,12,Třída D - Méně úsporná,Osobní,3,6,,,,poplatky jsou závislé na počtu osob
2026-02-09,3349615436,Pronájem bytu 1+kk 114 m² (Loft),"Křížová, Praha 5 - Smíchov",Praha 5,Smíchov,45000,114,1+kk,5. podlaží,Skeletová,Velmi dobrý,Částečně,True,,,Třída D - Méně úsporná,Osobní,,,,,Loft,"elektřina zůstává na majitele zálohy jsou 1800,-Kč/m"
2026-02-09,2454782796,Pronájem bytu 3+kk 111 m² (Jednopodlažní),"Anny Letenské, Praha 2 - Vinohrady",Praha 2,Vinohrady,44000,111,3+kk,3. podlaží,Cihlová,Velmi dobrý,,,2,,,Osobní,,,,,Jednopodlažní,
2026-02-09,1436250956,Pronájem bytu 2+1 90 m²,"U Blaženky, Praha 5 - Smíchov",Praha 5,Smíchov,26000,90,2+1,2. podlaží,Cihlová,Po rekonstrukci,,,,35,,Osobní,,,,,,elektřina a plyn se převádí na nájemce
2026-02-09,2117956428,Pronájem bytu 3+1 104 m² (Podkrovní),"Na Hanspaulce, Praha 6 - Dejvice",Praha 6,Dejvice,41000,104,3+1,3. podlaží,Cihlová,Velmi dobrý,Částečně,,,,,Osobní,,,,,Podkrovní,plyn a elektřina se převádí na nájemce
2026-02-09,2833085260,Pronájem bytu 6 pokojů a více 145 m² (Mezonet),"Strojnická, Praha 7 - Holešovice",Praha 7,Holešovice,58000,145,,6. podlaží,Cihlová,Velmi dobrý,True,True,,10,,Osobní,,,,,Mezonet,plyn a elektřina se převádí na nájemníka
2026-02-09,2288808780,Pronájem bytu 3+kk 78 m²,"Lužická, Praha 2 - Vinohrady",Praha 2,Vinohrady,38000,78,3+kk,2. podlaží,Cihlová,Velmi dobrý,Částečně,,,,,Osobní,,5,,,,"energie se převádí na nájemníka - pokud ne, tak je záloha na plyn i elektřinu 3000"
2026-02-09,1641378636,Pronájem bytu 2+kk 39 m² (Jednopodlažní),"Štúrova, Praha 4 - Krč",Praha 4,Krč,18810,39,2+kk,11. podlaží z celkem 18 včetně 1 podzemního,Panelová,Velmi dobrý,True,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,"Měsíční poplatky pro 1 osobu 3 626,- Kč/měsíc, spotřeba elektřiny se převede na nájemce, vratná kauce 1 měsíční nájem, provize RK 1 měsíční nájem + DP"
2026-02-09,936735564,Pronájem bytu 2+1 55 m²,"Pelhřimovská, Praha 4 - Michle",Praha 4,Michle,22000,55,2+1,2. podlaží z celkem 5,Cihlová,Po rekonstrukci,,False,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ 600.-/os. poplatky + elektřina + plyn
2026-02-09,1981416268,Pronájem bytu 3+1 96 m²,"Odborů, Praha 2 - Nové Město",Praha 2,Nové Město,44000,96,3+1,5. podlaží,Cihlová,Velmi dobrý,True,True,4,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,
2026-02-09,131429196,Pronájem bytu 3+kk 109 m²,"Italská, Praha 2 - Vinohrady",Praha 2,Vinohrady,43632,109,3+kk,2. podlaží z celkem 5,Smíšená,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,1,,,,,Provize RK činí 1 měsíční nájem plus 21 % DPH.
2026-02-09,1584403276,Pronájem bytu 4+kk 84 m²,"Slavíkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,50500,84,4+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-09,4221895500,Pronájem bytu 2+kk 48 m²,"Na Kozačce, Praha 2 - Vinohrady",Praha 2,Vinohrady,26000,48,2+kk,2. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,
2026-02-09,1228501836,Pronájem bytu 3+1 87 m²,"Odborů, Praha 2 - Nové Město",Praha 2,Nové Město,32500,87,3+1,4. podlaží,Cihlová,Velmi dobrý,True,,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,
2026-02-09,608310092,Pronájem bytu 3+1 80 m²,"Heleny Malířové, Praha 6 - Břevnov",Praha 6,Břevnov,25000,80,3+1,1. podlaží z celkem 5,Cihlová,Velmi dobrý,,,,,Třída D - Méně úsporná,Osobní,,4,,,,"+ poplatky 7.500 Kč ( voda, elektřina, plyn) + kauce 32.000 Kč + 27.500 Kč provize RK"
2026-02-09,2330530636,Pronájem bytu 4+kk 106 m² (Mezonet),"Sovova, Praha 8 - Karlín",Praha 8,Karlín,79000,106,4+kk,3. podlaží,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,Mezonet,+ poplatky 6 000 Kč
2026-02-09,1976922956,Pronájem bytu 1+kk 33 m²,"Irská, Praha 6 - Vokovice",Praha 6,Vokovice,17000,33,1+kk,5. podlaží z celkem 6,Cihlová,Novostavba,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-09,4203340,Pronájem bytu 2+kk 44 m² (Jednopodlažní),"Nekonečného, Praha - Stodůlky",,,22000,44,2+kk,3. podlaží,Dřevostavba,Novostavba,True,True,,,Třída A - Mimořádně úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,1,2,10,,Jednopodlažní,
2026-02-09,465924940,Pronájem bytu 3+kk 70 m²,"Palmovka, Praha 8 - Libeň",Praha 8,Libeň,24000,70,3+kk,2. podlaží z celkem 5,Cihlová,Po rekonstrukci,True,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Družstevní,,,,,,+ poplatky 4.100 Kč / 2 osoby (každá další osoba + 2.000 Kč) + přepis el. energie (cca 1.000 Kč) a plynu (cca 2.500 Kč)
2026-02-09,4190466892,Pronájem bytu 2+kk 48 m²,"Jeseniova, Praha 3 - Žižkov",Praha 3,Žižkov,16500,48,2+kk,5. podlaží z celkem 5,Cihlová,Velmi dobrý,False,,True,,Třída D - Méně úsporná,Osobní,,,,Jiné,,"+popl. 500, +energie"
2026-02-09,2143646540,Pronájem bytu 3+kk 71 m²,"U Roháčových kasáren, Praha 10 - Vršovice",Praha 10,Vršovice,33000,71,3+kk,4. podlaží z celkem 9,Smíšená,Velmi dobrý,,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,4,4,,,"+ záloha na poplatky ve výši 5 065 Kč + přepis elektroměru (kauce 38 000 Kč, provize RK 38 000 Kč)"
2026-02-09,1955271500,Pronájem bytu 2+kk 66 m² (Jednopodlažní),"Jičínská, Praha 3 - Žižkov",Praha 3,Žižkov,30000,66,2+kk,4. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,Jednopodlažní,"bez DPH, bez poplatků, + provize RK, včetně právního servisu"
2026-02-09,36115276,Pronájem bytu 4+1 97 m²,"Ruzyňská, Praha 6 - Liboc",Praha 6,Liboc,39500,97,4+1,3. podlaží,Panelová,Velmi dobrý,False,True,2,,Třída C - Úsporná,Osobní,2,,,,,zálohy na služby a energie počítány na 4 osoby
2026-02-09,2830107468,Pronájem bytu 2+kk 44 m²,"Zvoncovitá, Praha 5 - Stodůlky",Praha 5,Stodůlky,19000,44,2+kk,2. podlaží,Panelová,Po rekonstrukci,True,True,,,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky + kauce + provize RK, viz popis"
2026-02-09,1584403276,Pronájem bytu 4+kk 84 m²,"Slavíkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,50500,84,4+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-09,583365452,Pronájem bytu 1+kk 50 m²,"Škrábkových, Praha 9 - Letňany",Praha 9,Letňany,15900,50,1+kk,2. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Novostavba,False,True,True,,Třída C - Úsporná,Osobní,,,,,,
2026-02-09,1584403276,Pronájem bytu 4+kk 84 m²,"Slavíkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,50500,84,4+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-09,1405449036,Pronájem bytu 3+1 78 m² (Jednopodlažní),"Mlékárenská, Praha 9 - Vysočany",Praha 9,Vysočany,29500,78,3+1,2. podlaží,Smíšená,Velmi dobrý,,,,,,Osobní,,3,8,,Jednopodlažní,
2026-02-09,3284497228,Pronájem bytu 2+kk 47 m²,"Hnězdenská, Praha 8 - Troja",Praha 8,Troja,20000,47,2+kk,9. podlaží z celkem 15,Cihlová,Velmi dobrý,,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky 3.000,- Kč + elektřina převodem; kauce ve výši jednoho nájmu, provize ve výši jednoho nájmu."
2026-02-09,2850452300,Pronájem bytu 2+kk 60 m²,"Pod dvorem, Praha 6 - Veleslavín",Praha 6,Veleslavín,30000,60,2+kk,2. podlaží,Cihlová,Novostavba,True,True,6,,Třída B - Velmi úsporná,Osobní,,2,,,,+ 6200 služby i energie včetně el.
2026-02-09,1584403276,Pronájem bytu 4+kk 84 m²,"Slavíkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,50500,84,4+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída F - Velmi nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-09,1500717900,Pronájem bytu 3+kk 110 m²,"Šlikova, Praha 6 - Břevnov",Praha 6,Břevnov,50000,110,3+kk,6. podlaží z celkem 8,Cihlová,Velmi dobrý,,,True,True,,Osobní,True,True,,,,"+ poplatky cca 7.500,-"
2026-02-09,2616554316,Pronájem bytu 2+1 59 m²,"U první baterie, Praha 6 - Břevnov",Praha 6,Břevnov,18708,59,2+1,1. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,3,,,,+ služby 6 192 Kč + elektřina se převádí na nájemce
2026-02-09,1971585868,Pronájem bytu 1+kk 46 m²,"Poděbradská, Praha 9 - Hloubětín",Praha 9,Hloubětín,23000,46,1+kk,2. podlaží,Cihlová,Novostavba,True,True,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,1,,5,,,"+ 3.000 Kč poplatky vč. elektřiny., + provize RK"
2026-02-09,3656741708,Pronájem bytu 2+kk 53 m²,"Toufarova, Praha 5 - Stodůlky",Praha 5,Stodůlky,23000,53,2+kk,4. podlaží z celkem 6 včetně 2 podzemních,Cihlová,Novostavba,Částečně,True,,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,6,6,,,"+ služby 3 900,-Kč + elektřina + provize"
2026-02-09,1324708684,Pronájem bytu 2+kk 44 m²,"Rejskova, Praha 2 - Vinohrady",Praha 2,Vinohrady,21000,44,2+kk,1. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,8,,,,+ Poplatky viz text
2026-02-09,3488969548,Pronájem bytu 2+1 49 m²,"V Dolině, Praha - Michle",,,20000,49,2+1,8. podlaží z celkem 14,Cihlová,Dobrý,Částečně,True,,,Třída D - Méně úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,,True,,Ústřední dálkové,,Nájemné+režie+kauce+provize RK
2026-02-09,1105662796,Pronájem bytu 2+1 53 m² (Jednopodlažní),"Doudlebská, Praha 4 - Nusle",Praha 4,Nusle,25000,53,2+1,3. podlaží z celkem 4,Cihlová,Velmi dobrý,True,,,,Třída G - Mimořádně nehospodárná,Osobní,,3,,,Jednopodlažní,Poplatky: 1 200 Kč/měsíc včetně vody a internetu + plyn a elektřina se přepisuje (cca 3 000 Kč/měsíc
2026-02-09,2733994828,Pronájem bytu 2+kk 50 m²,"Karla Engliše, Praha 5 - Smíchov",Praha 5,Smíchov,27000,50,2+kk,4. podlaží,Smíšená,Velmi dobrý,True,True,True,,Třída G - Mimořádně nehospodárná,Osobní,True,,,,,+ poplatky viz text
